Time (s):,User Points:,Peer Points:,Action type:,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
1.93969,-1,0,User missed,0.0139129,-0.08152681,-0.05108638,356.6553,352.9655,3.145487,0.02425601,-0.4555165,0.3180252,351.4739,0.527105,10.02096
2.415719,0,-1,Peer hit user's target,-0.002674635,-0.08067038,-0.04489163,357.9298,340.5545,4.152918,-0.02650505,-0.4579773,0.3028648,349.453,349.6092,15.97631
2.593153,0,-2,Peer missed,-0.01087088,-0.07939161,-0.04900865,357.8608,329.8932,4.698835,-0.09055997,-0.4613028,0.2794867,348.5824,336.634,20.25056
5.515604,0,-1,Peer hit peer's target,0.03706718,-0.0705459,-0.07047565,351.1065,345.8524,3.340605,0.02256341,-0.3986011,0.2707424,346.125,351.0405,13.34512
5.716228,0,0,Peer hit peer's target,0.04554917,-0.07024942,-0.06728012,349.6469,357.7835,3.224719,0.07932689,-0.3925809,0.2675762,344.8505,358.9677,14.28435
5.770911,0,1,Peer hit peer's target,0.0478875,-0.0704755,-0.06571344,349.4472,1.583674,3.191459,0.095002,-0.3918906,0.2666421,344.6646,1.65089,14.35233
7.462777,0,2,Peer hit peer's target,0.1135544,-0.09180348,-0.05059938,356.764,90.67156,0.8663104,0.4113155,-0.4373437,-0.04039574,349.5565,83.89714,13.43791
8.997511,-1,2,User missed,0.1311688,-0.09839552,-0.04959329,359.3621,101.9088,1.308955,0.4329444,-0.4860151,-0.1587032,357.4197,117.4188,7.873904
9.575488,-2,2,User missed,0.1511779,-0.0994394,-0.08951007,358.4302,113.4865,0.6563071,0.4290847,-0.4730508,-0.2560607,350.4711,138.9734,3.028116
9.631238,-2,3,Peer hit peer's target,0.1517284,-0.09922414,-0.09160881,357.7813,115.6837,0.3987485,0.422474,-0.46934,-0.2719666,350.0719,144.8172,0.4761146
9.741862,-2,2,Peer missed,0.1520112,-0.09987742,-0.09631281,356.951,120.7755,0.2704739,0.4023149,-0.4620467,-0.2993916,347.9522,155.4798,353.7856
9.874493,-1,1,Peer hit user's target,0.1524507,-0.1020545,-0.101133,357.4576,125.7226,0.3631118,0.3949336,-0.4636615,-0.3137672,348.028,158.1795,354.4161
11.38454,-1,2,Peer hit peer's target,0.1221892,-0.08995651,-0.0742424,348.9129,126.9783,359.0999,0.3827372,-0.432537,-0.3029023,348.7933,153.4879,345.6904
13.993,-2,2,User missed,0.07690904,-0.0764641,-0.0513161,341.3573,28.19182,6.090898,0.3527186,-0.3420893,0.1220285,337.9367,41.27653,3.564046
14.48225,-3,2,User missed,0.06358159,-0.07660297,-0.07363817,337.6725,33.2941,6.482777,0.3505924,-0.3351804,0.06926038,331.0236,54.72014,356.6496
15.2823,-4,2,User missed,0.08961559,-0.08124693,-0.09090644,338.6929,60.57685,359.7072,0.3983164,-0.3513557,-0.00411801,333.7031,81.60987,342.6969
16.40329,-4,3,Peer hit peer's target,0.08931787,-0.0877401,-0.0479884,346.9651,27.33745,4.254214,0.3373251,-0.388082,0.132616,347.7709,37.17194,359.0867
16.98507,-3,3,User hit user's target,0.1098676,-0.09429228,-0.0569228,351.1021,48.42522,2.278306,0.4607691,-0.4260069,0.03027932,355.8394,72.84439,351.7533
17.03896,-3,2,Peer missed,0.1126022,-0.09444616,-0.05821888,351.7018,50.64983,1.897498,0.4644759,-0.4266199,0.02216938,356.1087,73.69617,351.7596
18.19382,-4,2,User missed,0.06570288,-0.08774579,-0.01246431,345.0773,11.3114,5.201979,0.2166545,-0.3418775,0.2131455,338.0013,13.24826,2.130345
18.93986,-4,1,Peer missed,0.01880085,-0.06853542,-0.03400882,321.9653,349.9112,11.82219,0.1132634,-0.3273046,0.2069692,328.1851,347.3103,8.835534
19.08402,-4,0,Peer missed,0.008815635,-0.06921202,-0.03399549,323.6248,338.0201,14.21737,0.0558103,-0.3357686,0.1911548,330.3661,331.2708,13.55301
20.58863,-3,0,User hit user's target,0.03944319,-0.06912859,-0.0191466,330.9604,312.115,9.80815,-0.006212325,-0.3129409,0.1418326,315.4207,301.0547,11.63618
21.0562,-3,1,Peer hit peer's target,0.04983981,-0.06815231,-0.008580722,329.5551,329.652,3.848836,0.02473795,-0.3146942,0.1807869,320.6133,328.0871,0.5197423
21.78943,-2,1,User hit user's target,0.1247207,-0.08671692,0.02450508,349.2674,20.58452,356.2851,0.2899825,-0.3920421,0.2285374,346.1951,31.6543,351.2764
23.38282,-1,1,User hit user's target,0.09769587,-0.06564601,-0.04328363,324.5831,33.85979,358.5499,0.2951784,-0.2728412,0.1215456,313.8058,45.88279,346.0934
24.40072,0,1,User hit user's target,0.09456005,-0.07894519,0.00031061,341.3105,22.76837,2.86525,0.241019,-0.3286847,0.1707001,331.5267,19.36367,358.1524
24.61287,0,2,Peer hit peer's target,0.07971519,-0.0788803,0.005908787,340.7072,17.53241,4.340567,0.2297287,-0.326868,0.1777636,327.1206,21.0314,355.838
25.03447,-1,2,User missed,0.0644275,-0.0731657,0.005137179,334.6538,16.35296,4.212899,0.2237225,-0.321893,0.1878697,324.1747,20.38528,357.7888
25.46803,-2,2,User missed,0.05902193,-0.07255408,0.01379083,334.0067,19.89064,3.877012,0.2355721,-0.3267601,0.1905563,325.4091,32.35595,352.8214
25.83926,-2,3,Peer hit peer's target,0.05552924,-0.07151467,0.01920181,332.8831,23.16269,3.08041,0.242838,-0.32751,0.1894964,325.69,40.02099,348.409
26.12145,-3,3,User missed,0.05912293,-0.07022086,0.0105818,330.968,31.71623,0.5896708,0.2554031,-0.3001088,0.165075,314.6602,50.46299,346.2787
26.55541,-3,2,Peer missed,0.05832715,-0.07606725,0.01397504,337.3027,26.89758,1.766936,0.2697654,-0.3323557,0.1637846,328.8618,57.77308,341.3709
27.4979,-2,2,User hit user's target,0.003296496,-0.1023457,0.02376948,5.011372,331.2875,8.226175,0.02798858,-0.4822206,0.1927063,21.81793,318.7292,358.1783
28.93258,-3,2,User missed,0.01679268,-0.09849223,0.001715047,2.865014,334.7849,5.932712,0.0605678,-0.4200282,0.1796036,359.3117,331.6928,3.196188
29.27598,-3,1,Peer missed,0.02710924,-0.1009435,0.01640314,4.551416,344.2816,4.574207,0.1281323,-0.4389213,0.2136616,3.758492,358.6875,2.20425
29.46566,-4,1,User missed,0.03781658,-0.1078921,0.0284801,8.89843,354.7259,3.843101,0.1536377,-0.4801699,0.2219501,15.91552,4.04375,1.262341
29.6435,-5,1,User missed,0.03985379,-0.1131457,0.04017404,11.52689,358.1601,3.810576,0.1730078,-0.5381266,0.2178203,25.37539,6.571774,359.6893
30.44393,-6,1,User missed,0.04024881,-0.1095595,0.05891043,9.722194,6.836276,4.169626,0.1776317,-0.4884058,0.2497399,5.151301,14.40431,7.152954
30.70001,-5,1,User hit user's target,0.04090735,-0.1086438,0.05374631,8.586093,14.25945,4.893073,0.2146166,-0.474115,0.2475083,2.534288,23.48676,4.986116
31.8019,-4,0,Peer hit user's target,0.03707533,-0.08262589,0.02356911,349.1694,7.207674,2.660503,0.165267,-0.421674,0.2129265,350.4482,10.54231,2.587086
32.81322,-3,0,User hit user's target,0.04149937,-0.08594517,0.02670104,352.3476,6.590533,2.856942,0.1430786,-0.4319575,0.2070912,354.6919,3.767606,2.598626
33.78006,-2,0,User hit user's target,-0.02476766,-0.115708,0.03271521,13.97531,328.2703,3.241515,0.001695808,-0.5061014,0.1542624,24.63511,312.1349,5.063076
34.25793,-2,1,Peer hit peer's target,-0.01590266,-0.1152525,0.03969486,13.73141,328.903,2.796253,0.0178306,-0.4992808,0.159753,19.61961,317.1754,9.322091
34.32638,-2,2,Peer hit peer's target,-0.01387069,-0.1151992,0.04050015,13.66401,329.639,2.802856,0.02610882,-0.5005626,0.1663451,19.47939,320.1518,9.640872
35.0915,-3,2,User missed,-0.01275291,-0.1100514,0.02779692,10.93627,326.9095,2.298578,0.001752225,-0.4653899,0.1421557,11.36462,304.222,0.971211
35.37046,-3,3,Peer hit peer's target,-0.02047568,-0.1070062,0.01822966,9.171831,320.7052,2.24841,-0.006272864,-0.4508077,0.1317651,0.03646959,304.3569,2.565055
35.5906,-4,3,User missed,-0.01186808,-0.09612594,0.008335143,1.071749,318.5452,1.566151,-0.004060551,-0.398497,0.09988063,338.9767,293.6737,1.455009
36.33585,-4,2,Peer missed,0.01394727,-0.08162871,0.007698514,348.8121,334.7889,1.05391,0.07929042,-0.4159744,0.1761665,353.8516,340.9967,359.6083
36.63668,-4,1,Peer missed,0.02030053,-0.09330863,0.02177368,357.4794,353.3294,0.4870669,0.1481809,-0.4533227,0.2014639,355.0225,10.36352,7.791894
36.83582,-3,1,User hit user's target,0.02416945,-0.09840602,0.02662303,1.308692,3.427722,1.253708,0.19229,-0.4812122,0.2037864,9.672982,17.90586,357.6552
38.3,-2,0,Peer hit user's target,0.05326244,-0.09603407,0.01758216,359.3636,24.54862,2.262968,0.2831756,-0.4669567,0.1627895,5.349354,39.13471,352.2429
39.76632,-1,0,User hit user's target,0.0678397,-0.09010337,0.03041598,354.9022,35.65605,3.834954,0.3244536,-0.4291571,0.1700419,346.567,55.22193,353.6064
40.1582,-1,1,Peer hit peer's target,0.06584427,-0.0883058,0.02712065,353.2702,33.13319,4.35682,0.2912548,-0.4431675,0.1729355,349.0269,42.76658,0.08134978
40.50025,-1,2,Peer hit peer's target,0.04522033,-0.08594917,0.02769813,352.7463,10.67266,5.254799,0.1434047,-0.4121709,0.1802254,341.0419,355.9123,7.719814
40.74532,0,2,User hit user's target,0.02450209,-0.08494125,0.02232616,352.5169,354.2464,5.505619,0.08312622,-0.4013639,0.1780677,341.4449,340.2303,7.357985
41.21491,0,3,Peer hit peer's target,0.009353425,-0.09863675,0.03004929,2.658452,345.1261,4.611663,0.06862386,-0.4731105,0.1875484,5.875484,335.6047,6.22011
41.72414,0,4,Peer hit peer's target,0.05238625,-0.09844851,0.0408024,0.8997021,22.93054,4.004955,0.2505457,-0.4795139,0.1881682,4.97589,28.53172,354.6988
41.84662,0,5,Peer hit peer's target,0.06767643,-0.09643737,0.03557774,358.7766,35.31521,4.440179,0.2948893,-0.4743782,0.1655047,2.362077,42.86727,349.9845
43.11456,0,6,Peer hit peer's target,0.1129035,-0.09531344,0.006058171,358.5557,71.40237,3.457359,0.3641231,-0.4741895,0.04342515,0.9675026,73.50475,349.1447
43.14694,-1,6,User missed,0.1126614,-0.09538765,0.006848951,358.682,69.91724,3.549449,0.3622521,-0.4735964,0.04907526,359.9069,71.34247,348.9448
43.75933,0,6,User hit user's target,0.08505893,-0.0905695,0.02733254,358.0269,36.07304,3.883259,0.2852225,-0.4590724,0.1593725,354.5047,40.16999,355.6948
44.30224,0,5,Peer missed,0.05391949,-0.08793131,0.03521346,357.0421,18.09282,5.146886,0.2526817,-0.4302934,0.2048469,347.3328,39.94485,349.7405
44.74746,1,5,User hit user's target,0.06440705,-0.08277316,-0.001318477,351.2819,40.66795,2.789199,0.330467,-0.3939842,0.1135749,335.012,60.0466,351.1836
45.18393,0,5,User missed,0.05905149,-0.08434206,-0.01365294,351.5569,50.06419,2.458677,0.3406673,-0.4286588,0.05891697,343.5714,66.85212,354.7152
45.82444,1,5,User hit user's target,0.03804711,-0.09763856,-0.002741633,1.00403,34.03835,4.987741,0.2646213,-0.5448019,0.1563806,16.57402,36.19176,3.969487
46.23672,1,6,Peer hit peer's target,0.03299123,-0.09793735,0.006472625,2.395884,28.04124,5.328314,0.2449849,-0.5153124,0.1667849,13.3134,27.08868,2.131235
46.41449,1,5,Peer missed,0.03238468,-0.09245706,0.007202014,357.8847,24.63231,4.588778,0.2416071,-0.5107332,0.1715466,11.89395,25.52987,1.888073
47.60247,0,5,User missed,0.0220985,-0.09573805,0.04094674,1.910755,13.03655,4.412089,0.1714206,-0.5062069,0.2057862,8.811843,7.743459,3.560276
49.70796,-1,5,User missed,0.04905092,-0.08993719,0.02800973,358.2925,11.07191,2.270115,0.2133317,-0.4529127,0.1967563,353.7521,17.96101,359.8087
50.82318,0,4,Peer hit user's target,0.06458573,-0.102047,0.02990671,5.389946,28.03441,3.577236,0.3219,-0.5193825,0.1800998,13.14029,40.21491,4.414005
50.93417,-1,4,User missed,0.06960641,-0.1024003,0.02731559,5.511877,32.07744,3.699218,0.33736,-0.5140111,0.1707104,11.11712,43.09763,2.381157
51.82457,0,4,User hit user's target,0.07194283,-0.1003861,0.002349438,2.064442,59.01942,3.629484,0.4309612,-0.4754787,0.05217821,2.192567,80.72305,359.9326
53.00353,0,3,Peer missed,0.05236218,-0.1030305,0.02873774,5.186152,36.09243,4.459848,0.3035074,-0.5012636,0.1782085,3.342874,46.21502,1.323973
53.3591,1,3,User hit user's target,0.05315503,-0.09808074,0.02619555,2.528595,37.29571,3.839447,0.3085359,-0.4245039,0.1925869,345.5905,44.9163,0.03789454
54.74533,2,3,User hit user's target,0.05658163,-0.1042061,0.03290042,5.588877,26.5907,3.663845,0.2928831,-0.5444998,0.2058413,22.68256,29.78593,0.8168818
56.03652,1,3,User missed,0.04492077,-0.1127235,0.02689184,10.87348,18.15201,4.110019,0.2952572,-0.5711981,0.2153588,22.04922,38.15374,5.407078
56.1695,1,4,Peer hit peer's target,0.05047214,-0.1128459,0.02467524,10.75325,24.80035,4.521269,0.3324917,-0.5858667,0.1998843,27.10867,42.25331,4.028108
56.78071,2,4,User hit user's target,0.05472505,-0.1067387,0.01725587,6.169082,45.03867,5.289598,0.3889746,-0.4810111,0.1204181,0.1811929,68.12124,3.312162
57.55893,3,4,User hit user's target,0.07506948,-0.1100759,0.01371113,8.394966,65.72715,4.735619,0.4137121,-0.5580788,0.01675546,20.4066,84.04272,1.157383
57.95871,3,5,Peer hit peer's target,0.08001823,-0.1077559,0.007618244,7.532086,66.24876,4.40713,0.3951383,-0.5418077,-0.0132079,11.14292,83.01949,4.845562
59.00426,3,6,Peer hit peer's target,-0.03990572,-0.07993308,-0.02715381,356.8664,266.5928,3.79156,-0.1607285,-0.4350934,0.1286978,0.0188827,281.3632,354.3881
59.08261,3,7,Peer hit peer's target,-0.04103518,-0.08012721,-0.02889403,356.291,261.9764,3.650291,-0.1779464,-0.4335545,0.1078816,359.4019,275.5643,353.8566
61.20192,2,7,User missed,-0.04059738,-0.08440812,-0.04682513,359.366,281.6656,1.98778,-0.1731218,-0.3614104,0.09181911,342.0893,281.2284,355.5734
61.4244,2,8,Peer hit peer's target,-0.0266555,-0.07903995,-0.04918802,354.7985,287.3424,2.862252,-0.1379965,-0.3431829,0.09902252,329.0572,286.985,359.7863
62.59286,1,8,User missed,0.03321511,-0.06290725,-0.05198731,334.4914,337.2043,358.4844,0.01689502,-0.3717546,0.1750582,337.0793,340.0933,347.3974
63.39264,0,8,User missed,0.07851351,-0.09157563,-0.0294285,359.861,3.29214,357.9297,0.1423391,-0.4690746,0.1843391,5.341141,7.480212,345.6756
63.81462,1,8,User hit user's target,0.1133518,-0.1015246,-0.03508199,4.502779,21.47687,358.2411,0.2564127,-0.4847575,0.1377451,3.461921,36.64691,349.084
64.37048,1,7,Peer missed,0.1460685,-0.1171693,-0.0616556,13.71548,48.08484,359.4174,0.3590049,-0.5786546,0.02081532,33.93171,58.0677,346.1105
64.92645,2,7,User hit user's target,0.1280556,-0.1165331,-0.05983491,12.56091,74.01319,2.762318,0.4090519,-0.5886524,-0.1200956,20.46977,98.47088,358.2562
65.61519,3,7,User hit user's target,0.07354562,-0.1058881,-0.001391605,7.016975,73.89301,5.802934,0.38177,-0.5196579,-0.01833948,7.546961,84.73426,357.6518
66.22587,4,7,User hit user's target,0.06292602,-0.1041519,0.01843367,4.354306,77.91037,6.710135,0.3880981,-0.5082604,-0.04646184,3.761891,99.07813,356.4861
68.25979,4,8,Peer hit peer's target,-0.03886158,-0.07095869,-0.008901075,346.71,296.3893,4.218414,-0.07130291,-0.3756188,0.1493374,347.4965,293.9403,356.625
68.51526,4,9,Peer hit peer's target,-0.0308306,-0.07034586,-0.03265545,346.1382,277.0491,5.585247,-0.07305184,-0.3470067,0.08119406,344.069,262.5629,351.7185
68.61554,4,10,Peer hit peer's target,-0.02784362,-0.07038845,-0.04160125,346.0251,271.2803,6.14408,-0.07406596,-0.3436944,0.07171349,343.733,255.6724,350.2713
68.70468,5,10,User hit user's target,-0.02541497,-0.07069468,-0.04816519,346.0719,266.991,6.750926,-0.07416921,-0.3436997,0.06142081,343.7957,249.5943,352.0526
69.10555,5,11,Peer hit peer's target,-0.01522237,-0.07364441,-0.05876216,348.5516,255.7796,7.502798,-0.06651386,-0.3536379,0.04620451,344.6348,236.6063,355.5855
69.44906,4,11,User missed,-0.02790603,-0.07752509,-0.04235587,350.9764,262.6934,6.385706,-0.08113437,-0.3790201,0.08718842,351.3329,254.0564,351.1484
70.14913,5,10,Peer hit user's target,-0.03006002,-0.06528431,-0.01153905,339.0604,276.5267,3.515705,-0.04066023,-0.3421265,0.1255091,328.9456,267.7448,350.2059
70.69383,5,11,Peer hit peer's target,-0.0003961958,-0.0592532,-0.002449417,331.8956,294.0602,0.5034071,-0.02211137,-0.3483457,0.1501836,325.9461,293.7426,348.4771
71.38205,4,11,User missed,0.0004662545,-0.06355189,-0.01267145,336.0596,293.8179,4.141787,-0.0138381,-0.3546874,0.1046739,327.8659,273.6719,355.6885
72.31492,4,10,Peer missed,0.02057775,-0.0652561,-0.005731502,337.0123,305.3973,1.678485,0.01097225,-0.3443114,0.1772055,328.2894,319.8971,352.3188
73.03794,3,10,User missed,0.04693379,-0.06494918,0.008269899,333.9634,341.275,356.9603,0.1455139,-0.3325956,0.2096277,325.3798,14.42314,337.336
74.77518,4,10,User hit user's target,0.03035078,-0.07230635,0.01386776,339.1476,11.99551,1.925593,0.1395721,-0.3875867,0.1782598,335.1652,6.028288,0.2401671
75.89593,4,9,Peer missed,0.02155171,-0.08286092,0.03046884,351.6738,352.5717,3.478425,0.1003671,-0.4455667,0.2037791,359.1457,349.8898,3.21781
78.55382,4,8,Peer missed,0.02263017,-0.8303602,0.1694953,5.197748,349.512,2.346601,0.1476085,-1.076608,0.2768657,340.3287,19.7946,345.4035
81.38701,4,9,Peer hit peer's target,-0.02479302,-0.6326229,-0.02747673,6.724884,308.812,0.8838524,0.04235194,-0.8777844,0.1207628,335.3315,354.7823,344.1826
86.54684,4,10,Peer hit peer's target,-0.02412057,-0.1642642,-0.1005381,40.98641,328.6751,4.914338,0.1223778,-0.3799253,0.04857519,343.7704,0.6380748,348.7499
92.08102,4,9,Peer missed,-0.1082201,-1.062088,0.008952741,11.52863,317.7397,1.419744,0.03034592,-1.247995,0.08069672,340.6881,353.851,344.2221
93.99846,3,9,User missed,0.02215611,-0.05505858,-0.1676163,342.059,324.0775,3.433881,0.03407959,-0.3172376,0.03219417,338.5413,329.967,352.8263
94.8106,4,9,User hit user's target,0.01229798,-0.0576449,-0.1678782,338.4262,1.198726,359.4637,0.1260338,-0.3099643,0.02170807,326.0167,24.16966,340.6718
95.21069,3,9,User missed,0.02467794,-0.05876512,-0.1751885,337.2324,16.67085,358.1819,0.1697194,-0.3106753,-0.009971152,321.3405,47.97105,331.5704
96.79137,3,8,Peer missed,0.00623926,-0.1558797,-0.1284635,36.17675,337.9089,5.876901,0.133159,-0.1279944,-0.06610686,314.0014,35.45425,298.9364
96.97079,2,8,User missed,0.007462202,-0.1535687,-0.1316092,35.1534,337.3378,5.94003,0.1258145,-0.1180964,-0.07606299,307.5632,42.13343,299.1653
97.44545,2,7,Peer missed,0.0041291,-0.1409426,-0.1424814,28.00214,331.4222,2.757165,0.1004101,-0.11397,-0.06414811,303.0949,23.06088,311.933
101.6059,3,6,Peer hit user's target,-0.4892592,-0.9316288,0.4822834,11.19816,91.06466,185.4475,-0.4137322,-0.9673371,0.6572431,351.9804,327.2503,77.2288
101.915,3,7,Peer hit peer's target,-0.4917323,-0.9381558,0.4759623,10.04123,82.17121,181.7881,-0.4207175,-0.9774501,0.6661876,334.1674,330.1891,74.34481
